№; листа,имя файла,Место хранения гербарного листа,Вид,Административное деление,Территориальное деление,Территориальное деление № 2,Экологические условия,Экологические условия,,Почвенные условия,Дата сбора,Кто собрал,N,E
num,image,source,species,region,district,place,,,forest_type,soil_type,collection_date,collectors,latitude,longitude
130856,DSC02882,БСИ,Rh_mucronulatum,приморский край,о. Путятин,сопка Котова,,,дубняк,,28.06.1981,Клычкова,"42,886733","132,423397"
130861,DSC02883,БСИ,Rh_mucronulatum,приморский край,Надежденский район ,окр. С. Горького,,,,,01.10.1967,Селедец,"43,409892","131,67066"
130177,DSC02884,БСИ,Rh_mucronulatum,приморский край,о. Путятин,зап. Берег оз. Гусинного,,,широколиственный лес,,22.07.1987,Клычкова,"42,864167","132,442"
130181,DSC02885,БСИ,Rh_mucronulatum,приморский край,о. Русский,1 км к Ю-В от м. Васильева,,,,скальные выходы,28.08.1998,Недолужко,"43,002821","131,758794"
130859,DSC02887,БСИ,Rh_mucronulatum,приморский край,Владивосток,мыс Песчанный,,,широколиственный лес,,06.08.1975,Урусов В.М.,"43,181585","131,772692"
130823,DSC02888,БСИ,Rh_mucronulatum,приморский край,Октябрьский район,окр. С. Покровка сопка Сенькина Шапка,,,широколиственный лес,склон горы,27.08.1987,Недолужко,"43,918604","131,659511"
3315044,DSC02889,БСИ,Rh_mucronulatum,приморский край,Хасанский район,"п-ов Гамова, бухта Телековского",,,дубняк,,13.09.2015,"Крестов, Каменева","42,664166","131,273611"
,DSC02890,БСИ,Rh_mucronulatum,приморский край,Ханкайский район,п. Турий рог,,,дубняк,,22.06.2005,,"45,228897","131,984225"
,DSC02891,БСИ,Rh_mucronulatum,приморский край,Ханкайский район,п. Турий рог,,,дубняк,,22.06.2005,,"45,228811","131,983004"
,DSC02892,БСИ,Rh_mucronulatum,приморский край,Пограничный район,окр. П. Духовское Сопка Любви,,,,сопка,18.06.2005,,"44,58673","131,544104"
,DSC02893,БСИ,Rh dahuricum,приморский край,Пограничный район,окр.п.Духовское сопка Любви,,,дубняк,,18.06.2005,,"44,58673","131,544104"
,DSC02894,БСИ,Rh dahuricum,приморский край,Пограничный район,окр.п.Духовское сопка Любви,,,дубняк,,18.06.2005,,"44,58673","131,544104"
,DSC02895,БСИ,Rh dahuricum,приморский край,Пограничный район,Духовское,,,дубняк,,18.06.2005,,"44,58673","131,544104"
,DSC02896,БСИ,Rh dahuricum,приморский край,Пограничный район,окр. Духовское,,,дубняк,,18.06.2005,,"44,58673","131,544104"
,DSC02897,БСИ,Rh mucronulatum,приморский край,о. Русский,о. Русский,,,широколиственный лес,,05.10.2005,,43.034372,131.833288
,DSC02898,БСИ,Rh mucronulatum,приморский край,Лазовский район,"к.Петрова, Лазовский заповедник",,,дубняк,склон горы,27.10.2005,,43.349857,133.908736
,DSC02899,БСИ,Rh dahuricum,Забайкальский край,Читинский район,Чита,,,,,14.07.2004,,52.087843,113.597292
,DSC02900,БСИ,Rh dahuricum,Забайкальский край,Карымский район,п. Дарасун,,,светлохвойный лес,,27.07.2004,,51.678600,113.994719
,DSC02901,БСИ,Rh dahuricum,Забайкальский край,Читинский район,г. Чита,,,,,21.07.2004,,51.989246,113.445348
,DSC02902,БСИ,Rh dahuricum,Забайкальский край,Читинский район,с. Кручина,,,,,20.07.2004,,"51,820852","113,761125"
,DSC02903,БСИ,Rh dahuricum,Забайкальский край,Читинский район,с. Кручина,,,,,25.07.2004,,"51,820852","113,761125"
,DSC02904,БСИ,Rh dahuricum,Забайкальский край,Карымский район,п. Дарасун,,,светлохвойный лес,,24.07.2004,,51.678600,113.994719
,DSC02905,БСИ,Rh dahuricum,Забайкальский край,Железнодорожный район,с. Ивановка            ,,,,,25.07.2004,,"52,127734","113,300989"
