№; листа,имя файла,Место хранения гербарного листа,Вид,Административное деление,Территориальное деление,Территориальное деление № 2,Экологические условия,Экологические условия,,Почвенные условия,Дата сбора,Кто собрал,N,E
num,image,source,species,region,district,place,,,forest_type,soil_type,collection_date,collectors,latitude,longitude
11777,shkot_0_mucronulatum_21_08_1998,БСИ,Rh_dauricum,приморский край,о. Шкота,о. Шкота,липовый лес на склоне,широколиственный лес,широколиственный лес,склон горы,21.08.1998,Недолужко,"42,946782","131,832929"
226303,shkot_1_mucronulatum_14_07_1975,БПИ,Rh_mucronulatum,приморский край,Шкотовский район,Уссурийский заповедник им. В.Л. Комарова верхнее течение реки Суворовки,северный склон,,,склон горы,14.07.1975,Т. Безделева,"43,628722","132,528"
11785,shkot_1_mucronulatum_28_06_1981,БСИ,Rh_mucronulatum,приморский край,о. Путятин,сопка Котова,дубняк,широколиственный лес,дубняк,,28.06.1981,Клычкова,"42,856485","132,427647"
,shkot_2_mucronulatum_06_09_1969,ГБС,Rh_mucronulatum,приморский край,Шкотовский район,г. Хуалаза,,,,скальные выходы,06.09.1969,Плотникова Л. С. ,"43,114333","132,791402"
11788,shkot_2_mucronulatum_08_07_1973,БСИ,Rh_mucronulatum,приморский край,о. Путятин,сопка Котова,дубняк,широколиственный лес,дубняк,сопка,28.06.1981,Клычкова,"42,856485","132,427647"
11789,shkot_3_mucronulatum_22_07_1987,БСИ,Rh_mucronulatum,приморский край,о. Путятин,о. Путятин,широколиственный лес,широколиственный лес,широколиственный лес,,22.07.1987,Недолужко,"42,890243","132,420812"
,shkot_4_mucronulatum_04_07_1973,ГБС,Rh_mucronulatum,приморский край,Шкотовский район,г. Хуалаза,,,,скальные выходы,04.07.1973,Урусов В.М.,"43,114333","132,791402"
11786,shkot_4_mucronulatum_22_07_1987,БСИ,Rh_mucronulatum,приморский край,о. Путятин,о. Путятин,широколиственный лес,широколиственный лес,широколиственный лес,,22.07.1987,Недолужко,"42,890243","132,420812"
11787,shkot_5_mucronulatum_22_07_1987,БСИ,Rh_mucronulatum,приморский край,о. Путятин,о. Путятин,широколиственный лес,широколиственный лес,широколиственный лес,,22.07.1987,Недолужко,"42,890243","132,420812"
11790,shkot_6_mucronulatum_22_07_1987,БСИ,Rh_mucronulatum,приморский край,о. Путятин,о. Путятин,широколиственный лес,широколиственный лес,широколиственный лес,,22.07.1987,Недолужко,"42,890243","132,420812"
226154,skovor_0_dauricum_02_08_1981,БПИ,Rh_dauricum,Амурская область,Сковородинский район,г.Сковородино,опушка,широколиственный лес,широколиственный лес,,02.08.1981,"А.Е. Кожевников, Горшков","53,980833","123,937222"
11717,skovor_0_dauricum_25_07_1964,ГБС,Rh_dauricum,Амурская область,Сковородинский район,Албазино,лесной щебнистый склон,,,каменистый склон,25.07.1964,Ворошилов,"53,41088","124,194265"
11717,skovor_1_dauricum_00_00_1964,ГБС,Rh_dauricum,Амурская область,Сковородинский район,Албазино,лесной щебнистый склон,,,каменистый склон,25.07.1964,Ворошилов,"53,41088","124,194266"
226155,skovor_1_dauricum_02_08_1981,БПИ,Rh_dauricum,Амурская область,Сковородинский район,г.Сковородино,опушка,,,,02.08.1981,"А.Е. Кожевников, Горшков","53,980833","123,937222"
226198,skovor_10_dauricum_16_08_1984,БПИ,Rh_dauricum,Амурская область,Сковородинский район,"долина верхнего течения реки Урка, левобережье напротив северных отрогов сопки",лиственичный долинный лес с березой,широколиственный лес,лиственичник,,16.08.1984,А.Е. Кожевников,"53,866222","122,07575"
226199,skovor_11_dauricum_16_08_1984,БПИ,Rh_dauricum,Амурская область,Сковородинский район,"долина верхнего течения реки Урка, левобережье напротив северных отрогов сопки",лиственичный долинный лес с березой,широколиственный лес,лиственичник,,16.08.1984,А.Е. Кожевников,"53,866222","122,07575"
226200,skovor_12_dauricum_23_07_1987,БПИ,Rh_dauricum,Амурская область,Сковородинский район,"окр. Пос. Джалинда , нижнее течение р. Ульдугич",скалы с сосной,светлохвойный лес,светлохвойный лес,скальные выходы,16.08.1984,А.Е. Кожевников,"53,494194","123,8805"
226201,skovor_13_dauricum_00_00_0000,БПИ,Rh_dauricum,Амурская область,Сковородинский район,"окр. Пос. Джалинда , нижнее течение р. Ульдугич",склон с сосной,светлохвойный лес,светлохвойный лес,скальные выходы,16.08.1984,А.Е. Кожевников,"53,494194","123,8805"
226169,skovor_14_dauricum_08_07_1956,БПИ,Rh_dauricum,Амурская область,Сковородинский район,близь Джалинды,лиственно-березовый лес,широколиственный лес,широколиственный лес,,08.07.1956,,"53,475528","123,918667"
226170,skovor_2_dauricum_16_08_1988,БПИ,Rh_dauricum,Амурская область,Сковородинский район,"-н берег Амура на 9км ниже устья Уруша, устье р. Курикан",в сосняке,светлохвойный лес,светлохвойный лес,,16.08.1988,А.Е. Кожевников,"53,804139","122,745861"
226171,skovor_3_dauricum_16_08_1988,БПИ,Rh_dauricum,Амурская область,Сковородинский район,"-н берег Амура на 9км ниже устья Уруша, устье р. Курикан",в сосняке,светлохвойный лес,светлохвойный лес,,16.08.1988,А.Е. Кожевников,"53,804139","122,745861"
226172,skovor_4_dauricum_16_08_1988,БПИ,Rh_dauricum,Амурская область,Сковородинский район,"н берег Амура на 9км ниже устья Уруша, устье р. Курикан",в сосняке,светлохвойный лес,светлохвойный лес,,16.08.1988,А.Е. Кожевников,"53,804139","122,745861"
226173,skovor_5_dauricum_24_08_1984,БПИ,Rh_dauricum,Амурская область,Сковородинский район, р-н 8км св п. Игнашино,в сосняке,светлохвойный лес,,,24.08.1984,А.Е. Кожевников,"53,470611","122,402389"
226174,skovor_6_dauricum_24_08_1984,БПИ,Rh_dauricum,Амурская область,Сковородинский район, р-н 8км св п. Игнашино,сосняк,светлохвойный лес,,,24.08.1984,А.Е. Кожевников,"53,470611","122,402389"
226162,skovor_7_dauricum_12_08_1988,БПИ,Rh_dauricum,Амурская область,Сковородинский район,р. Урка,смешаный лес,смешанный лес,,,12.08.1988,А.Е. Кожевников,"53,885056","122,050872"
226163,skovor_8_dauricum_17_07_1987,БПИ,Rh_dauricum,Амурская область,Сковородинский район,р-н п. Джалинда Неверский мыс в уст р. Б. Невер упир в берег Амура,сосн лес ю-з склон,светлохвойный лес,,,17.07.1987,А.Е. Кожевников,"53,991944","124,148889"
8896,skovorod_2_dauricum_08_08_1958,ГБС,Rh_dauricum,Амурская область,Сковородинский район,близь села Сковородино,скалы,,,скальные выходы,08.08.1958,Ворошилов,"53,924026","124,010035"
226085,soln_0_dauricum_04_07_1982,БПИ,Rh_dauricum,Хабаровский  край,Солнечный район,п. Солнечный,,,,,04.07.1982,Небайкин,"50,709278","136,639056"
,soln_0_dauricum_11_07_1980,ГБС,Rh_dauricum,Хабаровский  край,Солнечный район,20 км на с-в от п. Берёзовка,темнохвойник,темнохвойный лес,,,11.07.1980,Нечаев А.А.,"48,64769","135,472665"
226118,sovgav_0_dauricum_06_08_1972,БПИ,Rh_dauricum,Хабаровский  край,Совгаванский  район,басс. Тумнина,лиственичник с елью,смешанный лес,,,06.08.1972,Т.Э. Куденцова,"49,411611","140,049583"
,sovgav_0_sichotense_08_06_1972,,Rh_sichotence,Хабаровский  край,Ванинский район,жд ст Тулучи,"березняк, склон",широколиственный лес,,склон горы,08.06.1972,Нечаев А.А.,"49,889776","139,928354"
226351,sovgav_2_mucronulatum_19_07_1972,БПИ,Rh_dauricum,Хабаровский  край,Ванинский район,р. Тумнин,,,,,10.07.1972,С.П. Реган,"49,278028","140,215889"
226352,sovgav_3_mucronulatum_12_07_1972,БПИ,Rh_dauricum,Хабаровский  край,Ванинский район,р. Тумнин,ольховник,широколиственный лес,,,12.07.1972,,"49,277436","140,209611"
,sovgav_3_sichotense_22_08_1972,БПИ,Rh_sichotence,Хабаровский  край,Ванинский район,р. Тумнин,лиственичник,широколиственный лес,,,22.08.1972,Нечаев А.А.,"49,289355","140,199158"
176,sovgav_5_sichotense_22_08_1972,ГБС,Rh_sichotence,Хабаровский  край,Ванинский район,жд ст Тулучи,лиственичник,широколиственный лес,,,22.08.1972,Нечаев А.А.,"49,289355","140,199159"
,sovgav_6_sichotense_00_00_1969,ГБС,Rh_sichotence,Хабаровский  край,Совгаванский  район,окр. Советской Гавани,каменная россыпь,,,каменистый склон,02.09.1969,Ворошилов,"48,939288","140,180042"
226233,stenin_0_mucronulatum_21_06_1963,,Rh_mucronulatum,приморский край,о. Стенина,о. Стенина,,,,,21.06.1963,Розенберг,"42,666667","131,463222"
226312,stenin_1_mucronulatum_28_06_1978,БПИ,Rh_mucronulatum,приморский край,о. Стенина,о. Стенина,высокая точка острова,,,,28.06.1978,Борзова А.А.,"42,731741","131,502606"
226314,stenin_2_mucronulatum_18_06_1978,БПИ,Rh_mucronulatum,приморский край,о. Стенина,Морск з-к о. Стенина,широколиственный лес,широколиственный лес,широколиственный лес,,18.06.1978,,"42,729389","131,502833"
226316,stenin_3_mucronulatum_28_06_1978,БПИ,Rh_mucronulatum,приморский край,о. Стенина,Морск з-к о. Стенина,широколиственный лес,широколиственный лес,широколиственный лес,,28.06.1978,Ефимов,"42,729389","131,502833"
226116,taland_0_dauricum_08_08_1974,БПИ,Rh_dauricum,Хабаровский  край,Верхнебурейский район,"4 км от пос. Таланджа, южн. Склон водороздела реки Яурин",,,,склон горы,08.08.1974,Н.С. Шеметова,"49,437361","131,552167"
226063,terney_0_dauricum_19_08_1980,БПИ,Rh_dauricum,приморский край,тернейский район,пос. Перетычиха,окраина болота,,,,19.08.1980,И.Б. Вышин,"47,252361","138,643444"
512,terney_0_sichotense_10_09_1967,ГБС,Rh_sichotence,приморский край,тернейский район,пос. Светлая,смешанный лес,смешанный лес,,,10.09.1967,Ворошилов,"46,546213","138,317641"
11844,terney_0_sichotense_26_07_1998,БПИ,Rh_sichotence,приморский край,красноармейский район,кордон Зимовейный,кедровник с дубом,смешанный лес,,,26.07.1998,Галанин А.В.,"45,381584","135,817758"
226064,terney_1_dauricum_19_08_1980,БПИ,Rh_dauricum,приморский край,тернейский район,пос. Перетычиха,окраина болота,,,,19.08.1980,И.Б. Вышин,"47,251028","138,646028"
11843,terney_1_sichotense_26_09_1997,БПИ,Rh_sichotence,приморский край,Дальнегорский район,кордон Кабанний,кедрово пихтовый еловый лес,темнохвойный лес,,,26.09.1997,Галанин А.В.,"45,111199","135,865881"
226077,terney_10_dauricum_12_08_1982,БПИ,Rh_dauricum,приморский край,тернейский район,"верхнее течение реки Самарга, ручей высокогорный, нижнее течение","в елово-пихтовом лесу с кедром, на крутых склонах и скалах",темнохвойный лес,,скальные выходы,21.11.1982,И.Б. Вышин,"47,280028","138,702667"
11839,terney_10_sichotense_10_06_1999,БПИ,Rh_sichotence,приморский край,Дальнегорский район,кордон Кабанний,кедрово пихтовый еловый лес,темнохвойный лес,,,26.09.1997,Галанин А.В.,"45,111199","135,865881"
226293,terney_11_dauricum_10_08_1979,БПИ,Rh_dauricum,приморский край,тернейский район,Сих-Алин з-к 18км к ю от Тернея оз. Благодатное,,,,,10.08.1979,Пробатова,"44,9425","136,536028"
226067,terney_2_dauricum_10_08_1980,БПИ,Rh_dauricum,приморский край,тернейский район,п. Перетичеха в пойме р. Единка,в лиственичнике,широколиственный лес,,,10.08.1980,И.Б. Вышин,"47,251528","138,635111"
11834,terney_2_sichotense_26_06_1998,БПИ,Rh_sichotence,приморский край,красноармейский район,кордон Зимовейный,кудровник с дубом,смешанный лес,,,26.07.1998,Галанин А.В.,"45,381584","135,817758"
11835,terney_3_sichotense_16_06_2000,БПИ,Rh_sichotence,приморский край,красноармейский район,кордон Венера,Елово пихтовый лес,темнохвойный лес,,,16.06.2000,Галанин А.В.,"45,381583","135,819288"
226070,terney_5_dauricum_29_07_1980,БПИ,Rh_dauricum,приморский край,тернейский район,"Среднее течение реки Самарга, левый приток р.Дагда, устье р.Опасная",лиственн по северн склону в долине реки,широколиственный лес,,,29.07.1980,И. И.Б. Вышин,"48,047639","138,532528"
226071,terney_6_dauricum_03_08_1980,БПИ,Rh_dauricum,приморский край,тернейский район,"Среднее течение реки Самарга, против устья р Дагда",на скалистом берегу,,,скалистый берег реки,03.08.1980,И.Б. Вышин,"47,914306","138,156306"
226072,terney_7_dauricum_09_07_1982,БПИ,Rh_dauricum,приморский край,тернейский район,верх течения реки Самарга,лиственн по северн склону в долине реки,широколиственный лес,,,09.07.1982, И.Б. Вышин,"47,529778","138,392722"
11840,terney_7_sichotense_10_06_1999,БПИ,Rh_sichotence,приморский край,Дальнегорский район,кордон Кабанний,кедрово пихтовый еловый лес,темнохвойный лес,,,26.09.1997,Галанин А.В.,"45,111199","135,865881"
226074,terney_8_dauricum_09_07_1982,БПИ,Rh_dauricum,приморский край,тернейский район,верхнее течение реки Самарга на 1км ниже устья реки Пуха,лиственник рододендровый по склону в долине реки,широколиственный лес,,,09.07.1982, И.Б. Вышин,"47,986722","137,967139"
11841,terney_8_sichotense_26_09_1987,БПИ,Rh_sichotence,приморский край,Дальнегорский район,кордон Кабанний,кедрово пихтовый еловый лес,темнохвойный лес,,,26.09.1997,Галанин А.В.,"45,111199","135,865881"
226075,terney_9_dauricum_12_08_1982,БПИ,Rh_dauricum,приморский край,тернейский район,"верхнее течение реки Самарга, ручей высокогорный, нижнее течение","в елово-пихтовом лесу с кедром, на крутых склонах и скалах",темнохвойный лес,,скальные выходы,12.08.1982,И.Б. Вышин,"47,25775","138,732861"
11842,terney_9_sichotense_26_09_1987,БПИ,Rh_sichotence,приморский край,Дальнегорский район,кордон Кабанний,кедрово пихтовый еловый лес,темнохвойный лес,,,26.09.1997,Галанин А.В.,"45,111199","135,865881"
,tetuh_0_sichotense_30_07_1964,МГУ,Rh_sichotence,приморский край,Дальнегорский район,Дальнегорск,берег моря,,,скалистый берег моря,30.06.1964,Чижевская,"44,349588","135,818239"
,tetuh_1_dauricum_30_07_1964,МГУ,Rh_sichotence,приморский край,Дальнегорский район,Дальнегорск,берег моря,,,скалистый берег моря,30.06.1964,Чижевская,"44,349588","135,81824"
,tetuh_1_sichotense_23_09_1969,ГБС,Rh_sichotence,приморский край,Дальнегорский район,Дальнегорск,близь Дальнегорска,,,,23.09.1969,Ворошилов,"44,566514","135,614593"
,tugchum_0_dauricum_03_08_1969,,Rh_dauricum,Хабаровский  край,Тугуро-Чумиканский район,долина р. Маи,Лиственичник ,широколиственный лес,,,03.08.1969,Шлотгауэр,"54,694344","134,401534"
226107,tugchum_0_dauricum_04_07_1969,БПИ,Rh_dauricum,Хабаровский  край,Тугуро-Чумиканский район,Хребет Альский,Кедровый стланик,,,скальные выходы,04.07.1969,Н.С.Шеметова,"54,53125","136,012806"
,tugchum_0_dauricum_11_08_2010,МГУ,Rh_dauricum,Хабаровский  край,Тугуро-Чумиканский район,хребет Джугджур,долина реки,,,,11.08.2010,Дудов С.В.,"55,550507","134,398639"
226369,tugchum_1_mucronulatum_29_07_1969,БПИ,Rh_mucronulatum,Хабаровский  край,Тугуро-Чумиканский район,долина р. Тугур ю-з склон г. Эльдон,,,,склон горы,29.07.1969,Н.С. Шеметова,"53,579167","136,657778"
226370,tugchum_2_mucronulatum_27_07_1972,БПИ,Rh_mucronulatum,Хабаровский  край,Тугуро-Чумиканский район,долина р. Тугур ю-з склон г. Эльдон,,,,склон горы,29.07.1969,Н.С. Шеметова,"53,580139","136,65275"
226122,Tumnin_0_dauricum_28_08_1983,БПИ,Rh_dauricum,Хабаровский  край,Совгаванский район,"басс. Тумнина хребет Большой Ян, г. Командная",подгольцовый пояс,,,скальные выходы,25.08.1983,И.Вышин,"50,359861","139,238667"
226169,tynd_0_dauricum_31_08_1984,БПИ,Rh_dauricum,Амурская область,Сковородинский район,близь Джалинды,лиственно-березовый лес,широколиственный лес,,,08.07.1956,,"53,475528","123,918667"
226190,tynd_1_dauricum_02_07_1981,БПИ,Rh_dauricum,Амурская область,Тындинский район,Тында,окраина леса,,,,09.07.1981,А.Е. Кожевников,"55,169833","124,71825"
226191,tynd_2_dauricum_00_00_0000,БПИ,Rh_dauricum,Амурская область,Тындинский район,Тында,окраина леса,,,,09.07.1981,А.Е. Кожевников,"55,169833","124,71825"
226194,tynd_3_dauricum_16_07_1989,БПИ,Rh_dauricum,Амурская область,Тындинский район,100км от пос. Уст-Нюкжа. Долина реки Усть-Кюель у впадения в озеро Ус-Кюель,скалистый береговой склон с листвиницей,смешанный лес,,скалистый берег реки,16.07.1989,А.Е. Кожевников,"56,577167","121,597528"
226195,tynd_4_dauricum_16_07_1989,БПИ,Rh_dauricum,Амурская область,Тындинский район,100км от пос. Уст-Нюкжа. Долина реки Усть-Кюель у впадения в озеро Ус-Кюель,скалистый береговой склон с листвиницей,смешанный лес,,скалистый берег реки,16.07.1989,А.Е. Кожевников,"56,577167","121,597528"
226093,ulch_0_dauricum_08_08_1975,БПИ,Rh_dauricum,Хабаровский  край,ульчский район,с. Солонцы,Лиственничн,широколиственный лес,,,08.08.1975,А. Юн,"52,249611","140,239667"
,ulch_0_dauricum_20_08_1968,,Rh_dauricum,Хабаровский  край,ульчский район,с. Тыр,сопка,,,сопка,20.08.1968,Нечаев А.А.,"52,93634","139,739844"
226095,ulch_1_dauricum_24_06_1978,БПИ,Rh_dauricum,Хабаровский  край,ульчский район,о-в Щучий против Мариинска,,,,,24.06.1978,Пробатова/Рудика,"51,750778","140,147556"
,ulch_2_dauricum_02_08_1975,,Rh_dauricum,Хабаровский  край,ульчский район,село Мариинское,обрыв,,,склон горы,02.08.1975,Ворошилов,"51,723484","140,177393"
226096,ulch_2_dauricum_05_06_1978,БПИ,Rh_dauricum,Хабаровский  край,ульчский район,сел.Богородское,лес,,,,08.07.1978,Пробатова/Рудыка,"52,386861","140,44375"
,ulch_3_dauricum_02_08_1975,ГБС,Rh_dauricum,Хабаровский  край,ульчский район,с. Марининское,обрыв,,,склон горы,02.08.1975, Юн,"51,725722","140,203556"
226361,ulch_3_mucronulatum_02_08_1975,БПИ,Rh_dauricum,Хабаровский  край,ульчский район,с. Марининское,обрыв,,,склон горы,02.08.1975, Юн,"51,725722","140,203556"
,ulch_4_dauricum_07_09_1976,ГБС,Rh_dauricum,Хабаровский  край,ульчский район,близ села Савитского,кедровый стланник ольховник и каменная береза,смешанный лес,,,07.09.1976,Нечаев А.А.,"51,522963","139,883584"
226362,ulch_4_mucronulatum_28_06_1978,БПИ,Rh_dauricum,Хабаровский  край,ульчский район,окр. Сел. Солонцы,лес,,,,28.06.1978,Н. Пробатова,"52,257556","140,2535"
,ulch_5_mucronulatum_07_09_1976,ГБС,Rh_dauricum,Хабаровский  край,ульчский район,близ села Савитского,кедровый стланник ольховник и каменная береза,смешанный лес,,,07.09.1976,Нечаев А.А.,"51,522963","139,883584"
226363,ulch_5_mucronulatum_28_06_1978,БПИ,Rh_mucronulatum,Хабаровский  край,ульчский район,с. Солонцы,лес,,,,28.06.1978,"Пробатова, Рудика","52,251833","140,235917"
226367,ulch_6_mucronulatum_03_08_1974,БПИ,Rh_mucronulatum,Хабаровский  край,ульчский район,с. Киселевка,осинно-дубово-берёзовый лес,широколиственный лес,,,03.08.1974,Санегина,"51,403611","138,982778"
226093,ulch_7_dauricum_08_08_1975,БПИ,Rh_dauricum,Хабаровский  край,ульчский район,с. Солонцы,Лиственничн,широколиственный лес,,,08.08.1975,А. Юн,"52,249611","140,239667"
226100,ulch_7_mucronulatum_18_07_1969,БПИ,Rh_dauricum,Хабаровский  край,ульчский район,окр. с. Киселевка.            Нижний Амур,склоны гор,,,склон горы,18.07.1969,,"51,401278","138,974389"
226318,ussur_9_mucronulatum_05_06_1970,БПИ,Rh_mucronulatum,приморский край,Уссурийский район,Шуфанское плато,в подлеске лиственого леса,широколиственный лес,широколиственный лес,,05.06.1970,Т.Нечаева,"43,621589","131,511365"
,vanin_0_dauricum_30_08_1973,ГБС,Rh_dauricum,Хабаровский  край,Ванинский район,между ванино и октябрьским,лиственичник,широколиственный лес,,,30.08.1973,Плотникова,"49,072828","140,227051"
226120,VB_1_dauricum_08_08_1974,БПИ,Rh_dauricum,Хабаровский  край,Верхнебурейский район,"4 км от пос. Таланджа, южн. Склон водороздела реки Яурин",,,,,08.08.1974,Н.С. Шеметова,"49,423917","131,546028"
226109,VB_2_dauricum_16_08_1990,,Rh_dauricum,Хабаровский  край,Верхнебурейский район,"р-н Бурейский зап-к, правобережье реки Правая Бурея в 6 км выше места слияние Пр. и Лев. Бурея ",Лиственично-еловый лес с кустарником по крутому седнистому склону,смешанный лес,,склон горы,16.08.1990,А.Е. Кожевников,"51,72575","134,30425"
226110,VB_3_dauricum_19_08_1990,БПИ,Rh_dauricum,Хабаровский  край,Верхнебурейский район,"р-н Бурейский зап-к, правобережье реки Правая Бурея в 6 км выше места слияние Пр. и Лев. Бурея ",седнистый участок берегового склона с лиственично-березово-елово лесом,смешанный лес,,склон горы,16.08.1990,А.Е. Кожевников,"51,719111","134,309389"
226111,VB_4_dauricum_16_08_1990,БПИ,Rh_dauricum,Хабаровский  край,Верхнебурейский район,р-н Бурейский зап-к,лиственично-еловый,смешанный лес,,,16.08.1990,А.Е. Кожевников,"51,699222","134,318222"
226112,VB_5_dauricum_13_08_1990,БПИ,Rh_dauricum,Хабаровский  край,Верхнебурейский район,"р-н Бурейский зап-к на 45 км от места слияния рек Пр и Лев Бурея, хр. Дуссе-Алинь, верховье реки Имганах.",лиственичник,широколиственный лес,,,13.08.1990,А.Е. Кожевников,"51,734583","134,56075"
226114,VB_6_dauricum_09_08_1977,БПИ,Rh_dauricum,Хабаровский  край,Верхнебурейский район,р-н 30км на в от п. Софийск,верховье реки,,,,09.08.1977,Нечаев,"51,563167","139,875556"
,verhbur_0_dauricum_05_08_1990,МГУ,Rh_dauricum,Хабаровский  край,Верхнебурейский район,"1,5 км к северу от устья реки Курайгагны",еловый лес,темнохвойный лес,,,05.08.1990,,"52,00644","134,905778"
,verhbur_0_dauricum_09_08_1977,ГБС,Rh_dauricum,Хабаровский  край,Верхнебурейский район,р-н 30км на в от п. Софийск,скалы,,,скальные выходы,09.08.1977,Нечаев,"52,274369","134,397919"
89-416,verhbur_06_dauricum_14_08_1989,МГУ,Rh_dauricum,Хабаровский  край,Верхнебурейский район,2 км от устья реки Чапхоз,ельник Зеленомошник,темнохвойный лес,,,14.08.1989,,"51,783999","134,674361"
,verhbur_1_dauricum_06_09_1990,МГУ,Rh_dauricum,Хабаровский  край,Верхнебурейский район,"1,5 км к северу от устья реки Курайгагны",еловый лес скалы,темнохвойный лес,,скальные выходы,06.09.1990,Хасанов,"52,00644","134,905778"
,verhbur_1_dauricum_21_07_1988,МГУ,Rh_dauricum,Хабаровский  край,Верхнебурейский район,река Китыма,надпойм. Террасса опушка елово-березового леса,смешанный лес,,,21.07.1988,Берзина,"51,900235","134,561094"
87-231,verhbur_10_dauricum_31_08_1987,МГУ,Rh_dauricum,Хабаровский  край,Верхнебурейский район,500 м от устья реки Ипата,каменистая россыпь,,,каменистый склон,31.08.1987,Аникина,"52,0182","134,360544"
87-206,verhbur_11_dauricum_28_08_1987,МГУ,Rh_dauricum,Хабаровский  край,Верхнебурейский район,бассейн ключа Медвежьего,лиственничник вейнико-брусничный,широколиственный лес,,,28.08.1987,Петелин,"52,287087","134,233317"
89-307,verhbur_2_dauricum_05_08_1989,МГУ,Rh_dauricum,Хабаровский  край,Верхнебурейский район,река Лан,каменистый склон,,,каменистый склон,05.08.1989,Курилин,"51,685821","134,533774"
,verhbur_2_dauricum_11_08_1988,МГУ,Rh_dauricum,Хабаровский  край,Верхнебурейский район,река Имганах,каменистый склон,,,каменистый склон,11.08.1988,Кенмиц,"51,736675","134,562396"
11682,verhbur_2_dauricum_18_07_1988,БСИ,Rh_dauricum,Хабаровский  край,Верхнебурейский район,река Солони,"сосняк, забалоченый",светлохвойный лес,,,18.07.1988,Недолужко,"50,999741","132,50677"
,verhbur_3_dauricum_07_08_1989,ГБС,Rh_dauricum,Хабаровский  край,Верхнебурейский район,река Талиджак,,,,,07.08.1989,Хегай,"50,746184","134,464176"
89-239,verhbur_4_dauricum_18_08_1989,МГУ,Rh_dauricum,Хабаровский  край,Верхнебурейский район,8 км от устья реки Лан,крутой каменистый склон,,,каменистый склон,18.08.1989,Курилин,"51,620035","134,660259"
89-307,verhbur_5_dauricum_05_08_1989,МГУ,Rh_dauricum,Хабаровский  край,Верхнебурейский район,река Лан,каменистый склон,,,каменистый склон,05.08.1989,Курилин,"51,685821","134,533774"
89-416,verhbur_7_dauricum_14_08_1989,МГУ,Rh_dauricum,Хабаровский  край,Верхнебурейский район,2 км от устья реки Чапхоз,ельник Зеленомошник,темнохвойный лес,,,14.08.1989,,"51,783999","134,674361"
,verhbur_8_dauricum_00_00_0000,МГУ,Rh_dauricum,Хабаровский  край,Верхнебурейский район,река Китыма,надпойм. Террасса опушка елово-березового леса,смешанный лес,,,,,"51,900235","134,561094"
,verhbur_9_dauricum_11_07_1988,МГУ,Rh_dauricum,Хабаровский  край,Верхнебурейский район,река Китыма,кустарник,кустарник,,,11.07.1988,Петелин,"51,880661","134,427289"
,vlad_0_mucronulatum_00_00_1969,ГБС,Rh_mucronulatum,приморский край,Владивосток,Шамора,,,,скальные выходы,02.09.1969,Плотникова,"43,195773","132,134432"
,vlad_1_mucronulatum_00_00_1979,ГБС,Rh_mucronulatum,приморский край,Владивосток,близ станции Океанская,каменистые скалы в широколиственном лесу,широколиственный лес,широколиственный лес,скальные выходы,00.00.1979,Ворошилов,"43,222578","132,014943"
,zavit_0_dauricum_25_07_1955,МГУ,Rh_dauricum,Амурская область,Завитинский район,5 км на юго-запад село Подоловка,Дубняк,широколиственный лес,,,25.07.1955,,"49,88674","129,197112"
,zeisk_0_dauricum_14_08_1977,МГУ,Rh_dauricum,Амурская область,Зейский район,рядом с устьем реки Мотовая,,,,,14.08.1977,Новиков,"54,085675","127,159824"
,zeisk_1_dauricum_31_07_1977,,Rh_dauricum,Амурская область,Зейский район,хр. Тукурингра в Сухом Ключе,подлесок в березовом лесу,широколиственный лес,,,31.07.1977,Губанов,"53,94512","127,370396"
,zeiskt_2_dauricum_23_08_1984,МГУ,Rh_dauricum,Амурская область,Зейский район,хр. Тукурингра в Сухом Ключе,,широколиственный лес,,,23.08.1984,Павлов,"53,94512","127,370397"
226181,Zey_0_dauricum_31_07_1977,БПИ,Rh_dauricum,Амурская область,Зейский район,Хребет Тукурингра восточ часть Зейского зап-ка ,белаберезов лес у сухого ключа,широколиственный лес,,,31.07.1977,Губанов,"54,333","126,333"
114827,гора облачная 25.07.26 - копия,МГУ,Rh_mucronulatum,приморский край,Чугуевский район,г. Облачная,,,широколиственный лес,скальные выходы,25.07.2026,А.Абриц,"43,69113","134,200813"
114851,Лазов. р. бухта Заря 16.07.09,МГУ,Rh_mucronulatum,приморский край,Лазовский район,Лазовский зап. Близ бух. Заря,,,широколиственный лес,склон горы,16.07.2009,С.В.Дубов,"43,03459","134,15789"
114833,Лазов.р. Судзух заповед 13.07.44,МГУ,Rh_mucronulatum,приморский край,Шкотовский район,сев. Склон сопки Туманная,,,широколиственный лес,склон горы,13.07.1944," Плеудов, Покровский","43,238453","132,793425"
114830,надежд р. пос. Соловей ключ 30.07.86,мгу,Rh_mucronulatum,приморский край,Надежденский район ,п. Соловей Ключ,,,широколиственный лес,,30.07.1986,А.А.Ефремов,"43,407511","132,065425"
114845,Судзух зап г. Облачная 14.07.46,МГУ,Rh mucronulatum,приморский край,Чугуевский район,зап. Склон. г. Облачной,,,темнохвойный лес,склон горы,14.04.1946,"Плеурова, К.Куркин","43,690214","134,193069"
114840,Судзух зап с киевка 31.05.61,МГУ,Rh dahuricum,приморский край,Лазовский район,окр.с.Киевка сопка 1 зап.склон 45,,,дубняк,сопка,31.05.1961,Л.Баекин,"42,90947","133,710164"
